sizepop,elite_size,overbest,MAXGEN,best_fitness,convergence_gen,final_diversity
36,3,6,74,9.675851383593567,74,1.0
44,3,7,126,10.204381858699277,126,0.8620857699805068
38,4,5,73,45.45288801153524,73,0.9639376218323586
42,3,5,127,8.734672081640808,127,0.9278752436647173
45,3,6,86,8.638018049508558,86,0.8991228070175439
33,4,6,74,13.839503209464304,74,0.9257539273019149
43,4,9,142,20.46565450874988,142,0.9160073386079578
33,4,9,119,9.53541190280842,119,0.9520697167755992
33,4,7,138,8.969341877264775,138,0.9649122807017544
36,3,6,72,10.40382113046348,72,0.9649122807017544
40,3,9,113,9.968785561158711,113,0.8671023965141612
35,4,9,122,9.488680449762578,122,0.9407894736842105
33,3,7,115,8.455703358721182,115,0.8991228070175439
35,3,6,109,12.36807350441898,109,0.962962962962963
46,3,5,98,8.859848557176782,98,0.9824561403508771
32,4,7,68,28.298940188784798,68,0.8819659442724458
33,4,5,117,9.134628044844535,117,0.8743406719412912
30,4,9,122,41.7274803621507,122,0.9463937621832359
49,4,6,59,17.082836492077128,59,0.962962962962963
40,4,9,83,10.00235814321332,83,0.9649122807017544
42,3,6,103,17.33044910921509,103,0.8620857699805068
36,4,5,84,12.913662675282593,84,0.9454191033138402
44,3,8,84,8.765671939195952,84,0.9166666666666666
31,3,9,75,16.929219354517574,75,0.9236326109391125
40,3,6,102,9.058761792716309,102,0.9278752436647173
33,3,9,64,9.835390337066807,64,0.9454191033138402
48,3,5,59,23.11565609978794,59,0.9473684210526316
48,4,8,51,9.340554850425178,51,0.8907378740970072
42,4,5,148,15.352948276854475,148,0.9736842105263158
34,4,7,117,8.9516685559388,117,0.9345258571264763
37,4,7,143,8.697162097485764,143,0.9247792684325192
41,3,7,133,14.39125137582239,133,0.8865955739020754
31,4,6,140,10.995992740656742,140,0.9171539961013645
33,4,9,114,32.0642322879932,114,0.9454191033138402
32,3,9,61,39.505623761159825,61,0.9259259259259259
49,3,6,137,8.7639247654795,137,0.9649122807017544
43,4,8,105,8.842232141984566,105,0.9454191033138402
40,4,6,140,9.494126576957925,140,0.9824561403508771
41,4,9,113,9.203391116673785,113,0.9649122807017544
39,4,8,73,20.330592938139965,73,0.962962962962963
30,3,6,101,24.528704397147536,101,0.8865955739020754
39,4,5,113,9.319716802870245,113,0.8070175438596492
49,3,9,131,8.970307573111599,131,0.9041394335511983
35,3,9,67,24.207186042749328,67,0.9411764705882353
38,3,8,88,9.524660421032308,88,0.9824561403508771
31,4,5,139,8.517208527615868,139,0.9138860222451554
46,3,7,82,16.365798974705164,82,0.9278752436647173
47,3,6,54,9.866687564747519,54,0.9278752436647173
30,4,6,63,11.42160219856252,63,0.9639376218323586
37,3,7,139,9.026792245409343,139,0.9649122807017544
